,rates
AED,4.337474
AFN,93.580179
ALL,122.621971
AMD,584.290838
ANG,2.119863
AOA,758.793822
ARS,113.633722
AUD,1.595177
AWG,2.125637
AZN,2.012234
BAM,1.957138
BBD,2.384533
BDT,100.153807
BGN,1.95775
BHD,0.445143
BIF,2339.624564
BMD,1.180909
BND,1.599983
BOB,8.154744
BRL,6.035043
BSD,1.180959
BTC,3.6918054e-05
BTN,88.036851
BWP,12.949428
BYN,2.9918
BYR,23145.8246
BZD,2.380531
CAD,1.488235
CDF,2361.819264
CHF,1.086024
CLF,0.032424
CLP,894.669252
CNY,7.651353
COP,4508.239795
CRC,731.840632
CUC,1.180909
CUP,31.2941
CVE,110.33876
CZK,25.528196
DJF,209.871687
DKK,7.438147
DOP,67.340305
DZD,159.238613
EGP,18.551029
ERN,17.71866
ETB,52.26804
EUR,1.0
FJD,2.454171
FKP,0.853515
GBP,0.857346
GEL,3.702198
GGP,0.853515
GHS,7.033001
GIP,0.853515
GMD,60.451213
GNF,11583.44334
GTQ,9.152686
GYD,247.078891
HKD,9.172939
HNL,28.091065
HRK,7.500315
HTG,110.423011
HUF,359.374812
IDR,17107.775698
ILS,3.884389
IMP,0.853515
INR,88.105649
IQD,1723.068069
IRR,49722.191476
ISK,146.102569
JEP,0.853515
JMD,182.191163
JOD,0.837312
JPY,130.024078
KES,127.786663
KGS,100.118728
KHR,4809.155565
KMF,491.735165
KPW,1062.818484
KRW,1347.92589
KWD,0.355222
KYD,0.984133
KZT,504.287108
LAK,11239.713562
LBP,1785.648313
LKR,235.022909
LRD,202.585462
LSL,17.076401
LTL,3.486919
LVL,0.714321
LYD,5.328562
MAD,10.574769
MDL,21.240599
MGA,4612.94649
MKD,61.65708
MMK,1943.958204
MNT,3363.365319
MOP,9.450397
MRO,421.584459
MUR,50.778475
MVR,18.190423
MWK,956.052818
MXN,23.444954
MYR,4.971043
MZN,75.110246
NAD,17.076396
NGN,485.948627
NIO,41.246525
NOK,10.452808
NPR,140.859162
NZD,1.685624
OMR,0.45467
PAB,1.180959
PEN,4.662899
PGK,4.146807
PHP,59.455292
PKR,188.372624
PLN,4.582212
PYG,8074.192346
QAR,4.299737
RON,4.927113
RSD,117.638639
RUB,87.451779
RWF,1189.064663
SAR,4.429422
SBD,9.485271
SCR,17.318759
SDG,526.686002
SEK,10.248794
SGD,1.60211
SHP,0.853515
SLL,12104.321938
SOS,690.832409
SRD,25.012887
STD,24326.526216
SVC,10.333645
SYP,1484.835049
SZL,16.959006
THB,38.722456
TJS,13.469504
TMT,4.133183
TND,3.294151
TOP,2.665435
TRY,10.05226
TTD,8.018657
TWD,33.052714
TZS,2738.529337
UAH,32.151793
UGX,4198.506632
USD,1.180909
UYU,51.792307
UZS,12549.479118
VEF,252514123485.42206
VND,27175.67799
VUV,130.040211
WST,3.013275
XAF,656.401352
XAG,0.046028
XAU,0.000652
XCD,3.191467
XDR,0.829061
XOF,656.39579
XPF,119.655691
YER,295.585876
ZAR,17.010906
ZMK,10629.606099
ZMW,26.742598
ZWL,380.253115
