id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_1;Alexandroupolis;['INET_LG_1'];['INET_N_31'];40.939928;25.994099;GR;None;{'GCV_mean_kWh_per_m3': 11.650000000000004, 'end_year': None, 'entsog_id': None, 'exact': 3, 'from_TSO': None, 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_vessel_size_M_m3': 108.12250187165749, 'max_workingGas_M_m3': 99.250216, 'median_cap_store2pipe_M_m3_per_d': 15.589128881373854, 'nuts_id_1': 'GR', 'nuts_id_2': 'GR', 'nuts_id_3': 'GR', 'start_year': 2023, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 0.20600000000000035, 'end_year': None, 'entsog_id': None, 'exact': 0, 'from_TSO': None, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 15.922878375776463, 'max_workingGas_M_m3': 0.0, 'median_cap_store2pipe_M_m3_per_d': 1.8850984035611922, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 'Median(GCV_mean_kWh_per_m3)', 'end_year': None, 'entsog_id': None, 'exact': 'make_Attrib(const)', 'from_TSO': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'OneOver(max_workingGas_M_m3, Pipe_pipe_class_EMap)', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': None};{}
INET_LG_2;Barcelona;['INET_LG_2', 'GIE_LG_2'];['INET_N_142'];41.398;2.174;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 309, 'exact': 3, 'from_TSO': 'Enagas', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 47.7620497321617, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 489.28688, 'median_cap_store2pipe_M_m3_per_d': 47.7620497321617, 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES51', 'nuts_id_3': 'ES511', 'start_year': 1969, 'to_TSO': 'Enagas'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_3;Bilbao;['INET_LG_3', 'GIE_LG_1'];['N_340_M_LMGN'];43.34045;-3.10804;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 314, 'exact': 3, 'from_TSO': 'BBG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 19.592205701514846, 'max_vessel_size_M_m3': 157.68, 'max_workingGas_M_m3': 262.11672, 'median_cap_store2pipe_M_m3_per_d': 19.592205701514846, 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21', 'nuts_id_3': 'ES213', 'start_year': 2003, 'to_TSO': 'Enagas'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_5;Cartagena;['INET_LG_5', 'GIE_LG_3'];['SEQ_1093_p'];37.62167;-0.97196;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 311, 'exact': 3, 'from_TSO': 'Enagas', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 341.92032, 'median_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES62', 'nuts_id_3': 'ES620', 'start_year': 1989, 'to_TSO': 'Enagas'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_6;Cavarzere;['INET_LG_6'];['INET_N_299'];45.133742;12.08022;IT;None;{'GCV_mean_kWh_per_m3': 11.602, 'end_year': None, 'entsog_id': 307, 'exact': 3, 'from_TSO': 'GNL Adriatico', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 20.94466471232877, 'max_vessel_size_M_m3': 88.768, 'max_workingGas_M_m3': 146.0, 'median_cap_store2pipe_M_m3_per_d': 19.66917383169956, 'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH3', 'nuts_id_3': 'ITH35', 'start_year': 2009, 'to_TSO': 'multiple_TSOs'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'median_cap_store2pipe_M_m3_per_d': 1.8850984035611922, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_7;Delimara;['INET_LG_7'];['INET_N_380'];35.828836;14.556524;MT;Malta;{'GCV_mean_kWh_per_m3': 11.650000000000004, 'end_year': None, 'entsog_id': None, 'exact': 3, 'from_TSO': None, 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 1.643835616438356, 'max_vessel_size_M_m3': 77.27890365254069, 'max_workingGas_M_m3': 73.0, 'median_cap_store2pipe_M_m3_per_d': 3.0143702777234176, 'nuts_id_1': 'MT0', 'nuts_id_2': 'MT00', 'nuts_id_3': 'MT001', 'start_year': 2017, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 0.20600000000000035, 'end_year': None, 'entsog_id': None, 'exact': 0, 'from_TSO': None, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 15.922878375776463, 'max_workingGas_M_m3': 0.0, 'median_cap_store2pipe_M_m3_per_d': 1.8850984035611922, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 'Median(GCV_mean_kWh_per_m3)', 'end_year': None, 'entsog_id': None, 'exact': 'make_Attrib(const)', 'from_TSO': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'OneOver(max_workingGas_M_m3, Pipe_pipe_class_EMap)', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': None};{}
INET_LG_8;Dragon;['INET_LG_8'];['INET_N_1070'];51.71;-5.03;GB;Milford Haven South Wales;{'GCV_mean_kWh_per_m3': 11.0, 'end_year': None, 'entsog_id': 303, 'exact': 2, 'from_TSO': 'multiple_TSOs', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 83.34545454794521, 'max_vessel_size_M_m3': 126.728, 'max_workingGas_M_m3': 186.88, 'median_cap_store2pipe_M_m3_per_d': 70.79890257803908, 'nuts_id_1': 'UKL', 'nuts_id_2': 'UKL1', 'nuts_id_3': 'UKL14', 'start_year': 2009, 'to_TSO': 'National Grid Gas'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'median_cap_store2pipe_M_m3_per_d': 1.8850984035611922, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_9;Dunkerque;['INET_LG_9', 'GIE_LG_9'];['N_3_NS_LMGN'];51.03479;2.19056;FR;None;{'GCV_mean_kWh_per_m3': 11.75, 'end_year': None, 'entsog_id': 320, 'exact': 3, 'from_TSO': 'Dunkerque LNG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 45.72980926649042, 'max_vessel_size_M_m3': 155.928, 'max_workingGas_M_m3': 350.4, 'median_cap_store2pipe_M_m3_per_d': 45.72980926649042, 'nuts_id_1': 'FRE', 'nuts_id_2': 'FRE1', 'nuts_id_3': 'FRE11', 'start_year': 2016, 'to_TSO': 'GRTgaz'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_10;El Musel;['INET_LG_10'];['INET_N_462'];43.534;-5.664;ES;Musel;{'GCV_mean_kWh_per_m3': 11.650000000000004, 'end_year': None, 'entsog_id': None, 'exact': 3, 'from_TSO': None, 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 175.2, 'median_cap_store2pipe_M_m3_per_d': 18.644257412681927, 'nuts_id_1': 'ES1', 'nuts_id_2': 'ES12', 'nuts_id_3': 'ES120', 'start_year': 2012, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 0.20600000000000035, 'end_year': None, 'entsog_id': None, 'exact': 0, 'from_TSO': None, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'median_cap_store2pipe_M_m3_per_d': 1.8850984035611922, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': None};{'GCV_mean_kWh_per_m3': 'Median(GCV_mean_kWh_per_m3)', 'end_year': None, 'entsog_id': None, 'exact': 'make_Attrib(const)', 'from_TSO': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': None};{}
INET_LG_11;Fos Cavaou;['INET_LG_11', 'GIE_LG_10'];['INET_N_545'];43.42239;4.89863;FR;None;{'GCV_mean_kWh_per_m3': 12.05, 'end_year': None, 'entsog_id': 305, 'exact': 3, 'from_TSO': 'Fosmax LNG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 26.39273332040617, 'max_vessel_size_M_m3': 155.928, 'max_workingGas_M_m3': 192.72, 'median_cap_store2pipe_M_m3_per_d': 23.383961721879867, 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04', 'start_year': 2020, 'to_TSO': 'GRTgaz'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'exact': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'exact': 'make_Attrib(const)', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw', 'to_TSO': 'raw'};{}
