id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_CS_355;Melfi;['INET_CS_355'];['INET_N_1048'];41.0664;15.7119;IT;GEO_44006;{'PowerPlantType': 'CCGT', 'capacity_E_MW': 100.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'ITF', 'nuts_id_2': 'ITF5', 'nuts_id_3': 'ITF51', 'start_year': 1997};{'PowerPlantType': 0, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': 'raw', 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_151;Duessesldorf 1;['INET_CS_151', 'INET_CS_153', 'INET_CS_243'];['INET_N_434'];51.2212;6.7319;DE;None;{'PowerPlantType': None, 'capacity_E_MW': 393.9, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'DEA', 'nuts_id_2': 'DEA1', 'nuts_id_3': 'DEA11', 'start_year': None};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': None};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_311;Leiden 12;['INET_CS_311'];['INET_N_937'];52.1641;4.4941;NL;GEO_45076;{'PowerPlantType': 'CHP', 'capacity_E_MW': 82.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL33', 'nuts_id_3': 'NL337', 'start_year': 1982};{'PowerPlantType': 0, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': 'raw', 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_51;Barby;['INET_CS_51', 'INET_CS_58', 'INET_CS_520'];['INET_N_141'];51.9832;11.8766;DE;None;{'PowerPlantType': None, 'capacity_E_MW': 216.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'DEE', 'nuts_id_2': 'DEE0', 'nuts_id_3': 'DEE0C', 'start_year': 1993};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_11;Alessandro Volta;['INET_CS_11'];['N_29_L_LMGN'];42.34385;11.51096;IT;GEO_43996;{'PowerPlantType': None, 'capacity_E_MW': 3600.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'ITI', 'nuts_id_2': 'ITI4', 'nuts_id_3': 'ITI41', 'start_year': 1997};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_373;Muenchen 3;['INET_CS_373', 'INET_CS_377'];['INET_N_1110'];48.1889;11.5957;DE;GEO_44309;{'PowerPlantType': None, 'capacity_E_MW': 858.0, 'capacity_TH_MW': 1214.0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'DE2', 'nuts_id_2': 'DE21', 'nuts_id_3': 'DE212', 'start_year': 1974};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': 'raw', 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_297;Kriebethal;['INET_CS_297', 'INET_CS_576'];['INET_N_884'];51.0513;13.0166;DE;None;{'PowerPlantType': None, 'capacity_E_MW': 26.25, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'DED', 'nuts_id_2': 'DED4', 'nuts_id_3': 'DED43', 'start_year': 1993};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_41;Azuliber;['INET_CS_41', 'INET_CS_95', 'INET_CS_96', 'INET_CS_116'];['INET_N_108'];40.0667;-0.2;ES;None;{'PowerPlantType': None, 'capacity_E_MW': 1680.8339999999998, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES52', 'nuts_id_3': 'ES522', 'start_year': None};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': None};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_206;Gera Nord;['INET_CS_206'];['INET_N_580'];50.9076;12.061;DE;None;{'PowerPlantType': None, 'capacity_E_MW': 148.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'DEG', 'nuts_id_2': 'DEG0', 'nuts_id_3': 'DEG02', 'start_year': 1996};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_22;Amorebieta;['INET_CS_22', 'INET_CS_46', 'INET_CS_478'];['INET_N_59'];43.2347;-2.7497;ES;GEO_43767;{'PowerPlantType': None, 'capacity_E_MW': 1955.0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 3, 'is_H_gas': 1, 'is_gas_fuel1': 1, 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21', 'nuts_id_3': 'ES213', 'start_year': 2005};{'PowerPlantType': None, 'capacity_E_MW': 0, 'capacity_TH_MW': 0, 'end_year': None, 'exact': 0, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'PowerPlantType': None, 'capacity_E_MW': 'raw', 'capacity_TH_MW': None, 'end_year': None, 'exact': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'start_year': 'raw'};{}
