pizza margherita,pizza siciliana,lasagna,spaghetti carbonara,vino rosso,birra,class
0,0,1,2,0,2,not sick
0,0,1,2,0,1,not sick
1,1,0,0,1,0,not sick
2,1,0,0,2,0,not sick
1,0,0,0,1,0,not sick
0,0,2,0,0,1,not sick
0,0,1,1,0,1,not sick
2,1,0,0,2,0,not sick
0,0,2,0,0,2,not sick
1,1,0,0,1,0,not sick
0,0,2,2,0,1,not sick
0,1,0,0,2,0,not sick
1,1,0,0,0,0,not sick
1,1,0,0,2,0,not sick
0,0,1,1,0,2,not sick
0,0,0,1,0,1,not sick
0,1,0,0,1,0,not sick
1,1,0,0,1,0,not sick
0,0,1,2,0,0,not sick
0,1,0,0,0,0,not sick
1,1,0,0,0,0,not sick
0,0,2,1,0,1,not sick
2,1,0,0,2,0,not sick
1,1,0,0,2,0,not sick
0,0,1,0,0,0,not sick
1,1,0,0,1,0,not sick
0,0,0,0,2,0,not sick
2,1,0,0,2,0,not sick
1,1,0,0,1,0,not sick
1,0,0,0,2,0,not sick
2,1,0,0,1,0,not sick
0,0,1,1,0,0,not sick
0,0,1,0,0,1,not sick
0,0,1,1,0,1,not sick
0,0,2,1,0,0,not sick
0,0,2,1,0,1,not sick
1,2,0,0,0,0,not sick
0,0,1,0,0,0,not sick
0,0,2,1,0,2,not sick
1,1,0,0,1,0,not sick
0,1,1,1,0,0,not sick
1,1,0,0,2,0,not sick
2,2,0,0,1,0,not sick
0,0,2,0,0,1,not sick
2,2,0,0,1,0,not sick
0,1,0,0,2,0,not sick
1,1,0,0,2,0,not sick
1,0,0,0,1,0,not sick
0,0,1,2,0,1,not sick
0,0,0,1,0,2,not sick
0,0,0,1,0,1,not sick
0,0,2,2,0,1,not sick
0,0,1,1,0,1,not sick
1,2,0,0,0,0,not sick
0,0,2,2,0,0,not sick
0,0,2,1,0,0,not sick
0,1,0,0,2,0,not sick
1,0,0,0,1,0,not sick
0,0,2,2,0,1,not sick
2,1,0,0,1,0,not sick
0,0,2,0,0,0,not sick
0,2,0,0,1,0,not sick
0,0,2,2,0,1,not sick
1,0,0,0,0,0,not sick
0,0,2,1,0,1,not sick
2,0,0,0,1,0,not sick
0,0,0,1,0,0,not sick
0,0,1,1,0,0,not sick
2,2,0,0,2,0,not sick
0,0,0,2,0,1,not sick
0,0,1,1,0,0,not sick
0,0,2,1,0,1,not sick
0,0,0,1,0,2,not sick
2,2,0,0,1,0,not sick
0,1,0,0,1,1,not sick
2,1,0,0,1,0,not sick
2,1,0,0,0,0,not sick
1,0,0,0,2,0,not sick
1,0,0,0,1,0,not sick
1,0,0,0,1,0,not sick
0,0,2,0,0,1,not sick
0,0,2,0,0,1,not sick
0,0,2,0,0,0,not sick
0,0,0,2,0,1,not sick
0,0,2,1,0,1,not sick
0,0,0,1,0,1,not sick
1,0,0,0,1,0,not sick
0,0,0,1,0,2,not sick
0,0,1,1,0,1,not sick
0,0,0,1,0,1,not sick
0,1,0,0,2,0,not sick
1,0,0,0,0,0,not sick
2,2,0,0,0,0,not sick
0,0,2,1,0,0,not sick
